ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-09-15,56.46,324,21
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-09-05,0.00,6,0
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-06-08,179.42,10,10
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-04-21,106.72,12,2
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2022-04-10,9.68,3,4
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-07-02,290.38,846,145
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-10-21,46.13,560,4
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-07-17,122.23,520,180
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-08-06,195.98,315,27
1003505442,ad_network_2_iOS_IE_All_B_Exact_CPT,2022-10-21,0.48,3,3
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-08-21,0.00,5,0
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2023-03-25,0.00,18,0
1024322563,ad_network_2_iOS_DE_All_Match,2022-05-15,140.79,3465,24
1003457587,ad_network_2_iOS_UK_All_Shared_B_Exact_CPT,2022-04-25,11.59,7,9
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-12-06,0.00,20,0
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-07-24,0.00,5,0
1003503722,ad_network_2_iOS_CA_All_Match,2022-02-13,57.72,1190,32
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-05-28,0.00,16,0
1003428951,ad_network_2_iOS_NZ_All_Match,2022-07-02,12.94,522,18
1003503722,ad_network_2_iOS_CA_All_Match,2022-06-24,214.11,7820,126
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-05-20,0.00,8,0
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-07-26,11.10,324,14
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-12-26,664.08,711,112
1003505742,ad_network_2_iOS_IE_New_Match,2022-02-14,0.39,50,1
1003503722,ad_network_2_iOS_CA_All_Match,2022-09-14,50.16,3030,72
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2022-03-02,0.00,21,0
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-08-23,0.00,4,0
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2022-04-26,0.00,6,0
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-09-25,13.27,25,4
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-07-31,5.17,6,5
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-06-11,109.29,230,10
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-04-20,10.06,189,36
1015514764,ad_network_2_iOS_BE_All_B_Exact_CPT,2022-12-10,0.00,7,0
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2022-10-05,103.34,714,84
